window,threshold,ratio,fold_balance,fold_ratios,samples
56,0.11,0.174,0.085,"0.243,0.306,0.102,0.137,0.083",11737
57,0.12,0.153,0.085,"0.226,0.281,0.087,0.113,0.056",11737
60,0.13,0.138,0.085,"0.206,0.271,0.070,0.096,0.046",11737
53,0.10,0.195,0.086,"0.250,0.339,0.121,0.155,0.109",11737
58,0.12,0.155,0.087,"0.228,0.287,0.088,0.116,0.057",11737
57,0.11,0.177,0.087,"0.245,0.313,0.104,0.140,0.086",11737
54,0.10,0.198,0.087,"0.252,0.345,0.123,0.158,0.112",11737
59,0.12,0.158,0.088,"0.230,0.294,0.090,0.119,0.060",11737
58,0.11,0.180,0.088,"0.247,0.320,0.105,0.141,0.088",11737
60,0.12,0.161,0.089,"0.231,0.298,0.091,0.121,0.062",11737
59,0.11,0.183,0.089,"0.248,0.326,0.107,0.144,0.092",11737
55,0.10,0.201,0.089,"0.254,0.353,0.124,0.161,0.114",11737
60,0.11,0.186,0.090,"0.251,0.332,0.109,0.146,0.094",11737
56,0.10,0.204,0.091,"0.256,0.359,0.126,0.164,0.116",11737
57,0.10,0.207,0.092,"0.259,0.363,0.128,0.165,0.117",11737
58,0.10,0.210,0.093,"0.261,0.370,0.130,0.168,0.120",11737
59,0.10,0.212,0.094,"0.264,0.374,0.132,0.170,0.122",11737
60,0.10,0.215,0.094,"0.266,0.378,0.135,0.172,0.124",11737
